estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
3,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,,,,,,,,,5,6,,7,,,8,14,,,9,15,
4,,,s20,,,,s22,s23,s24,,,,,,,,,,,,,,,,,,,,18,19,,21,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,
6,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,,,,,,,,,25,6,,7,,,8,14,,,9,15,
7,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,,,,,,,,,26,6,,7,,,8,14,,,9,15,
8,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,,,,,,,,,27,6,,7,,,8,14,,,9,15,
9,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,,,,,,,,,28,6,,7,,,8,14,,,9,15,
10,,,,,,,,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,
11,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,s33,,,,,,,s31,s32,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
13,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s13,,,,,s11,s12,,,,,s16,,,,,s39,,,,,,,,,,,,,36,,37,,,38,14,,35,,,
15,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s44,,,,,,,,,,,41,,42,,,43,14,,,,,40
16,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,r2,,,,,r2,r2,,,,,r2,,,,,,r2,,r2,,,,,,,,,,,,,,,,,,,,,
19,,,s20,,,,s22,s23,s24,,,,,,,,,,,,,,,,,,,,47,19,,21,,,,,,,,,,,,,
20,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,
22,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,
29,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,s55,,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,53,54,,,,,,,
35,,,,,r24,,,,,r24,r24,,,,,r24,,,,,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,
36,,,,,s13,,,,,s11,s12,,,,,s16,,,,,s39,,,,,,,,,,,,,36,,37,,,38,14,,57,,,
37,,,,,s13,,,,,s11,s12,,,,,s16,,,,,s39,,,,,,,,,,,,,36,,37,,,38,14,,58,,,
38,,,,,s13,,,,,s11,s12,,,,,s16,,,,,s39,,,,,,,,,,,,,36,,37,,,38,14,,59,,,
39,,,,,r30,,,,,r30,r30,,,,,r30,,,,,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,
40,,,,,r32,,,,,r32,r32,,,,,r32,,,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,
41,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s44,,,,,,,,,,,41,,42,,,43,14,,,,,60
42,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s44,,,,,,,,,,,41,,42,,,43,14,,,,,61
43,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s44,,,,,,,,,,,41,,42,,,43,14,,,,,62
44,,,,,r37,,,,,r37,r37,,,,,r37,,,,,,r37,,r37,,,,,,,,,,,,,,,,,,,,,
45,,,,,s55,,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,64,,,63,,,,
46,,,,,s55,,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,64,,,65,,,,
47,,,,,r3,,,,,r3,r3,,,,,r3,,,,,,r3,,r3,,,,,,,,,,,,,,,,,,,,,
48,,,,,r4,,,,,r4,r4,,,,,r4,,,,,,r4,,r4,,,,,,,,,,,,,,,,,,,,,
49,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r7,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,r12,,,,,r12,r12,,,,,r12,,,,,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,
52,,,,,r13,,,,,r13,r13,,,,,r13,,,,,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,
53,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,r20,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,r21,,,,,,,,,,,r21,,,r21,,r21,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,r22,,,,,,,,,,,r22,,,r22,,r22,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,r27,,,,,r27,r27,,,,,r27,,,,,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,
58,,,,,r28,,,,,r28,r28,,,,,r28,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,
59,,,,,r29,,,,,r29,r29,,,,,r29,,,,,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,
60,,,,,r34,,,,,r34,r34,,,,,r34,,,,,,r34,,r34,,,,,,,,,,,,,,,,,,,,,
61,,,,,r35,,,,,r35,r35,,,,,r35,,,,,,r35,,r35,,,,,,,,,,,,,,,,,,,,,
62,,,,,r36,,,,,r36,r36,,,,,r36,,,,,,r36,,r36,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,r5,,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,
68,,,,,r18,,,,,r18,r18,,,,,r18,,,,,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,
69,,,,,s55,,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,
70,,,,,,,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,s55,,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,
72,,,,,r33,,,,,r33,r33,,,,,r33,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,
73,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,r25,,,,,r25,r25,,,,,r25,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,
